id,MsgSvrID,type_name,is_sender,talker,room_name,content,CreateTime
1,953020244103908134,系统通知,0,xinglaifaxianzhe,xinglaifaxianzhe,"{""src"": """", ""msg"": ""你已添加了白桃乌龙，现在可以开始聊天了。""}",2023-08-12 23:22:41
2,7594861486645126963,文本,1,我,xinglaifaxianzhe,"{""src"": """", ""msg"": ""哦吼""}",2023-08-12 23:22:54
3,5795621731176683438,文本,1,我,xinglaifaxianzhe,"{""src"": """", ""msg"": ""咱们老家""}",2023-08-12 23:23:02
4,3470072877112832166,文本,1,我,xinglaifaxianzhe,"{""src"": """", ""msg"": ""离得近嘞""}",2023-08-12 23:23:05
5,4123958315588848926,动画表情,0,xinglaifaxianzhe,xinglaifaxianzhe,"{""src"": ""http://wxapp.tc.qq.com/262/20304/stodownload?m=8f29c306e125f7514246f4f82887cc29&filekey=30350201010421301f020201060402534804108f29c306e125f7514246f4f82887cc290203008884040d00000004627466730000000131&hy=SH&storeid=32303232303531373136313532383030306137303837333237346335383237653661386430393030303030313036&bizid=1023"", ""msg"": ""表情""}",2023-08-12 23:23:26
6,1893107158254293225,文本,0,xinglaifaxianzhe,xinglaifaxianzhe,"{""src"": """", ""msg"": ""是耶""}",2023-08-12 23:23:31
7,5967747793341844139,文本,0,xinglaifaxianzhe,xinglaifaxianzhe,"{""src"": """", ""msg"": ""挺好""}",2023-08-12 23:23:37
8,365944262262687504,文本,1,我,xinglaifaxianzhe,"{""src"": """", ""msg"": ""哈哈哈""}",2023-08-12 23:23:41
9,4210929420150253626,文本,1,我,xinglaifaxianzhe,"{""src"": """", ""msg"": ""困嘞困嘞""}",2023-08-12 23:24:26
10,3243868033522068109,文本,1,我,xinglaifaxianzhe,"{""src"": """", ""msg"": ""俺先睡了""}",2023-08-12 23:24:30
11,7049787380472735099,文本,1,我,xinglaifaxianzhe,"{""src"": """", ""msg"": ""明天再聊""}",2023-08-12 23:24:33
